"univ","from","to","mean","total_apps","stud_apps","budget_apps","total_per_place","budg_per_place","link","price","year","scopus_public","scopus_qoutes","rate_place","rate_sort","region"
"Сумська філія Глухівського національного педагогічного університету імені Олександра Довженка",115.333333333333,129.666666666667,122.6,5,5,0,1,,"http://new.gnpu.edu.ua/uk/vartist-vchannia1.html",12000,,,,,500,"Сумська область"
"Сумський державний педагогічний університет імені А.С. Макаренка",103,186.666666666667,140.6,2449,466,208,5,11,"sspu.sumy.ua/",9141,,,,"154",154,"Сумська область"
"Сумський державний університет",102.5,195.333333333333,152.3,5854,928,424,6,13,"sumdu.edu.ua",14485,,1688,7887,"7",7,"Сумська область"
"Сумський національний аграрний університет",101.333333333333,188,137.4,2865,485,223,5,12,"http://www.sau.sumy.ua",,,67,184,"80",80,"Сумська область"
"Східноєвропейський національний університет імені Лесі Українки",103,197.333333333333,154.6,9633,1329,624,7,15,"http://eenu.edu.ua",17180,,449,3325,"45",45,"Волинська область"
"Східноукраїнський національний університет імені Володимира Даля",100.5,183.666666666667,137,1740,380,197,4,8,"https://snu.edu.ua",10138,,329,999,"146",146,"Луганська область"
"Таврійський державний агротехнологічний університет",102.333333333333,189,134.6,1687,361,154,4,11,"http://www.tsatu.edu.ua",8583,,12,3,"90",90,"Запорізька область"
"Таврійський національний університет імені В.І.Вернадського",104.5,190.5,154,3389,332,202,10,16,"http://www.tnu.edu.ua",14131,,,,"238, 239",238,"м. Київ"
"Тернопільський національний економічний університет",102,195,148.3,7698,977,254,7,30,"http://www.tneu.edu.ua/",,,429,503,"27",27,"Тернопільська область"
"Тернопільський національний педагогічний університет імені Володимира Гнатюка",104,195.333333333333,153.2,4707,586,358,8,13,"http://tnpu.edu.ua",17689,,130,385,"59",59,"Тернопільська область"
"Тернопільський національний технічний університет імені Івана Пулюя",105,195,146.4,4118,455,237,9,17,"http://tntu.edu.ua",11600,,286,774,"38",38,"Тернопільська область"
"Товариство з обмеженою відповідальністю ""Академія адвокатури України""",112,180.666666666667,145.4,466,49,0,9,,"http://vstup.aau.edu.ua",15040,,,,"161, 162",161,"м. Київ"
"Товариство з обмеженою відповідальністю ""Бердянський університет менеджменту і бізнесу""",109,159.666666666667,125.9,18,15,0,1,,"http://bumib.edu.ua",6375,,,,"186",186,"Запорізька область"
"Товариство з обмеженою відповідальністю ""Вищий навчальний заклад Східно-європейський слов'янський університет""",104.666666666667,136.333333333333,119,46,10,0,4,,"http://eesu.uz.ua",11000,,,,"280",280,"Закарпатська область"
"Товариство з обмеженою відповідальністю ""Ізмаїльський інститут водного транспорту""",116,137,125.6,42,7,0,6,,"http://iivt.org.ua",7166,2016,,,"263",263,"Одеська область"
"Ужгородський торговельно-економічний інститут Київського національного торговельно-економічного університету",108,165.333333333333,134.2,123,22,4,5,30,"http://www.utei-knteu.org.ua/abiturientam.html",,,,,,500,"Закарпатська область"
"Українська академія друкарства",104.5,192.5,151,1490,229,104,6,14,"http://www.uad.lviv.ua",7500,,81,283,"144",144,"Львівська область"
"Українська інженерно-педагогічна академія",104,190,132.3,1234,237,73,5,16,"http://www.uipa.edu.ua",7500,,129,128,"64, 65",64,"Харківська область"
"Український державний університет залізничного транспорту",100.333333333333,191.666666666667,139.9,2837,383,148,7,19,"http://www.kart.edu.ua",9400,,77,139,"60, 61",60,"Харківська область"
"Уманська філія Приватного вищого навчального закладу ""Європейський університет""",137,159.333333333333,145,7,3,0,2,,"http://uman.e-u.in.ua",7550,,,,,500,"Черкаська область"
"Уманська філія Приватного вищого навчального закладу «Київський інститут бізнесу та технологій» товариство з обмеженою відповідальністю",126,126,126,4,1,0,4,,"http://kibit.edu.ua",12600,,,,,500,"Черкаська область"
"Уманський державний педагогічний університет імені Павла Тичини",102,192.666666666667,135.2,2477,792,196,3,12,"https://udpu.org.ua/",,,86,358,"70, 71",70,"Черкаська область"
"Уманський національний університет садівництва",102.666666666667,194,133.3,2284,380,116,6,19,"http://admission.udau.edu.ua",10980,,57,16,"91",91,"Черкаська область"
"Університет державної фіскальної служби України",101.5,181.666666666667,145.2,1437,475,186,3,7,"http://www.nusta.edu.ua",12768,,,,"137, 138",137,"Київська область"
"Університет митної справи та фінансів",103.666666666667,190,147,4231,532,73,8,58,"http://umsf.dp.ua",10700,,,,"173",173,"Дніпропетровська область"
"Факультет ринкових, інформаційних та інноваційних технологій Київського національного університету технологій та дизайну",122.666666666667,139.666666666667,132,20,6,0,3,,"http://knutd.edu.ua",7800,,,,,500,"Черкаська область"
"Філія ""Кременчуцький інститут вищого навчального закладу ""Університет імені Альфреда Нобеля""",116.333333333333,154.666666666667,134.5,50,8,0,6,,"http://www.ki-duep.com",8975,,,,,500,"Полтавська область"
"Харківська державна академія дизайну і мистецтв",104.5,196,156.7,223,217,76,1,2,"http://www.ksada.org/index.html",15791,2016,,,"169",169,"Харківська область"
"Харківська державна академія культури",100.5,189,145.1,1359,379,220,3,6,"http://www.ic.ac.kharkov.ua/",10233,,,,"143",143,"Харківська область"
"Харківська державна академія фізичної культури",102.5,189.666666666667,130.7,550,256,148,2,3,"http://www.hdafk.kharkov.ua/",13350,,,,"252",252,"Харківська область"
"Харківська державна зооветеринарна академія",102.666666666667,176.666666666667,135,41,39,15,1,2,"http://hdzva.edu.ua",10666,,,,"187",187,"Харківська область"
"Харківський державний університет харчування та торгівлі",103,179.666666666667,138.9,2125,179,35,11,60,"http://www.hduht.edu.ua",8730,,35,32,"113",113,"Харківська область"
"Харківський інститут фінансів Київського національного торговельно-економічного університету",103.333333333333,188.666666666667,146.4,524,49,13,10,40,"http://khif.edu.ua",7750,,,,,500,"Харківська область"
"Харківський навчально-науковий інститут Державного вищого навчального закладу ""Університет банківської справи""",113,176.666666666667,141.6,472,64,0,7,,"http://khibs.ubs.edu.ua",10000,,,,,500,"Харківська область"
"Харківський національний автомобільно-дорожній університет",101.333333333333,176.333333333333,129.1,3036,248,41,12,74,"http://www.khadi.kharkov.ua",9800,,56,154,"48",48,"Харківська область"
"Харківський національний аграрний університет ім. В.В. Докучаєва",102.333333333333,180,137.2,1892,292,144,6,13,"http://www.ku.kharkov.ua",6500,,5,2,"128",128,"Харківська область"
"Харківський національний економічний університет імені Семена Кузнеця",101.333333333333,196,155.2,8050,938,189,8,42,"http://www.hneu.edu.ua",9972,,111,111,"54, 55",54,"Харківська область"
"Харківський національний медичний університет",112.666666666667,158.666666666667,137.4,407,37,0,11,,"http://knmu.kharkov.ua",25200,,230,1090,"44",44,"Харківська область"
"Харківський національний педагогічний університет імені Г.С. Сковороди",100,190.333333333333,146.8,5656,711,262,8,21,"http://pu.ac.kharkov.ua/",11000,,,,"110",110,"Харківська область"
"Харківський національний технічний університет сільського господарства імені Петра Василенка",101.666666666667,188.666666666667,131.9,2444,422,205,5,11,"http://www.khntusg.com.ua",6800,,10,5,"86",86,"Харківська область"
"Харківський національний університет будівництва та архітектури",103.333333333333,193,144.5,1846,309,138,6,13,"http://www.kstuca.kharkov.ua",9333,,11,4,"117",117,"Харківська область"
"Харківський національний університет внутрішніх справ",101,180.5,130.6,1853,439,0,4,,"http://www.univd.edu.ua",13400,,13,7,"139, 140",139,"Харківська область"
"Харківський національний університет імені В.Н. Каразіна",103.333333333333,198,164.1,19775,1970,970,10,20,"http://start.karazin.ua",16800,,8382,40675,"2-3",2,"Харківська область"
"Харківський національний університет мистецтв імені І.П. Котляревського",108,191,152.8,290,146,145,2,2,"http://dum.kharkov.ua",17200,,,,"177, 178",177,"Харківська область"
"Харківський національний університет міського господарства імені О.М. Бекетова",103.333333333333,194,141.2,6430,877,236,7,27,"http://abit.kme.edu.ua",12825,,123,248,"50",50,"Харківська область"
"Харківський національний університет Повітряних Сил імені Івана Кожедуба",115.666666666667,168,141.8,70,2,0,35,,"http://www.hups.mil.gov.ua/",10250,,136,148,"89",89,"Харківська область"
"Харківський національний університет радіоелектроніки",100.333333333333,196.333333333333,160.1,8141,1234,784,6,10,"http://nure.ua/uk",10900,,2143,3527,"15",15,"Харківська область"
"Харківський регіональний інститут державного управління Національної академії державного управління при Президентові України",105.666666666667,191,140.9,532,89,0,6,,"http://www.kbuapa.kharkov.ua",9212,,,,,500,"Харківська область"
"Харківський торговельно-економічний інститут Київського національного торговельно-економічного університету",102.666666666667,183,138.1,1780,183,17,9,104,"http://htei.org.ua",9400,,,,,500,"Харківська область"
"Херсонська державна морська академія",100,192.333333333333,141.1,1129,275,54,4,20,"http://kma.ks.ua",19340,,,,"210",210,"Херсонська область"
"Херсонська філія Національного університету кораблебудування імені адмірала Макарова",102,186,134,234,44,24,5,9,"http://kb.nuos.edu.ua",,,,,,500,"Херсонська область"
"Херсонський державний університет",101,195.333333333333,141.1,3358,910,312,3,10,"http://www.kspu.edu",12245,,126,211,"64, 65",64,"Херсонська область"
"Херсонський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",118,144.333333333333,132.7,24,5,0,4,,"http://maup.net.ua/",13750,,,,,500,"Херсонська область"
"Херсонський національний технічний університет",105.333333333333,191.666666666667,144.1,1861,312,83,6,22,"http://kntu.net.ua",10800,,,,"111, 112",111,"Херсонська область"
"Херсонський політехнічний коледж Одеського національного політехнічного університету",0,0,0,7,0,0,0,,"http://college.ks.ua",,,,,,500,"Херсонська область"
"Хмельницька гуманітарно-педагогічна академія",104.333333333333,188,142,160,159,130,1,1,"http://kgpa.km.ua",20625,,,,"212, 213",212,"Хмельницька область"
"Хмельницький інститут імені Блаженнішого Володимира, Митрополита Київського і всієї України Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",105.333333333333,134,119.8,96,6,0,16,,"http://www.maup.km.ua",9525,,,,,500,"Хмельницька область"
"Хмельницький інститут соціальних технологій вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",106,169.666666666667,128.5,171,19,0,9,,"http://www.hist.km.ua",10333,,,,"176",176,"Хмельницька область"
"Хмельницький кооперативний торговельно-економічний інститут",108.333333333333,168.333333333333,128.7,343,42,0,8,,"http://www.xktei.km.ua",,,,,"260",260,"Хмельницька область"
"Хмельницький національний університет",101,190.666666666667,140.3,6852,1157,355,5,19,"http://prk.khnu.km.ua",11857,,269,943,"29",29,"Хмельницька область"
"Хмельницький університет управління та права",108.666666666667,191.333333333333,147,823,169,45,4,18,"http://www.univer.km.ua",15026,,,,"150, 151",150,"Хмельницька область"
"Центральноукраїнський державний педагогічний університет імені Володимира Винниченка (Кіровоградський державний педагогічний університет імені Володимира Винниченка)",101,194.666666666667,144.6,2977,623,304,4,9,"http://www.kspu.kr.ua/",12886,,25,60,"92",92,"Кіровоградська область"
"Центральноукраїнський національний технічний університет",101.333333333333,190.333333333333,137.6,1544,269,96,5,16,"http://www.kntu.kr.ua",11500,,41,34,"84",84,"Кіровоградська область"
"Черкаська медична академія",115.666666666667,171.333333333333,146,106,23,16,4,6,"http://medcollege.ck.ua",,,,,,500,"Черкаська область"
"Черкаська філія Приватного вищого навчального закладу ""Європейський університет""",130.666666666667,143.333333333333,138.9,19,4,0,4,,"http://cherkasi.e-u.in.ua",,,,,,500,"Черкаська область"
"Черкаський державний технологічний університет",104.333333333333,194.333333333333,143.9,2743,387,144,7,19,"https://chdtu.edu.ua",11300,,71,60,"129",129,"Черкаська область"
"Черкаський інститут пожежної безпеки імені Героїв Чорнобиля Національного університету цивільного захисту України",102.5,171,129.7,452,176,107,2,4,"http://fire.ck.ua",9150,,,,,500,"Черкаська область"
"Черкаський навчально-науковий інститут Державного вищого навчального закладу «Університет банківської справи»",117,184.333333333333,148.8,280,41,10,6,28,"https://cibs.ubs.edu.ua",12291,,,,,500,"Черкаська область"
"Черкаський національний університет імені Богдана Хмельницького",103.5,193,147,5756,946,293,6,19,"https://www.cdu.edu.ua",14059,,328,1833,"39, 40",39,"Черкаська область"
"Чернівецький національний університет імені Юрія Федьковича",100.5,197,151.9,18382,2338,866,7,21,"http://vstup.chnu.edu.ua",14803,,2547,10122,"9",9,"Чернівецька область"
"Чернівецький торговельно - економічний інститут Київського національного торговельно - економічного університету",101.333333333333,188,140.7,1604,206,40,7,40,"http://www.chtei-knteu.cv.ua",11992,,,,,500,"Чернівецька область"
"Чернівецький факультет Національного технічного університету «Харківський політехнічний інститут»",103.666666666667,159,127.6,113,24,6,4,18,"http://www.kpi.kharkov.ua/ukr/faculty/chernivetskij/",9900,,,,,500,"Чернівецька область"
"Чернігівський інститут імені Героїв Крут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",116,166,135.7,33,3,0,11,,"http://maupchern.pp.ua",9950,,,,,500,"Чернігівська область"
"Чернігівський інститут інформації, бізнесу і права Приватного вищого навчального закладу «Міжнародний науково-технічний університет імені академіка Юрія Бугая»",106.666666666667,162,132.8,62,8,0,7,,"istu.edu.ua/abiturijentu/vartist-vchannja/chernigivskii-institut-informaciji-biznesu-i-prava-pvnz-mntu/",8100,,,,,500,"Чернігівська область"
"Чернігівський національний педагогічний університет імені Т.Г. Шевченка",100.5,197.333333333333,143.2,2557,481,305,5,8,"http://chnpu.edu.ua",,,,,"170",170,"Чернігівська область"
"Чернігівський національний технологічний університет",102.333333333333,193.333333333333,145.2,4705,763,323,6,14,"http://www.stu.cn.ua",,,217,583,"60, 61",60,"Чернігівська область"
"Чорноморський національний університет імені Петра Могили",100,192,147.4,3613,768,206,4,17,"https://chmnu.edu.ua",,,74,111,"121",121,"Миколаївська область"
"Чортківський навчально-науковий інститут підприємництва і бізнесу Тернопільського національного економічного університету",111.666666666667,138.666666666667,124.7,40,13,2,3,20,"http://chnnipb.tneu.edu.ua/",,,,,,500,"Тернопільська область"
"Шосткинський інститут Сумського державного університету",105,173.333333333333,132.5,123,15,8,8,15,"http://shinst.sumdu.edu.ua",,,,,,500,"Сумська область"
"Яготинський інститут Приватного акціонерного товариства ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",112.333333333333,187.333333333333,126,12,9,0,1,,"http://yagotin.maup.com.ua/",,,,,,500,"Київська область"
