"univ","scopus_public","scopus_qoutes","from","to","mean","link","price","year","rate_place","rate_sort","region","amountOfBudget","AmountOfBacalavr","total_apps","total_per_place","budg_per_place","QtoP","totalStudents","scopus_per_student"
"Глухівський агротехнічний інститут імені С.А. Ковпака Сумського національного аграрного університету",,,,,,,,,,,,56,124,131,1,2,0,124,
"Глухівський національний педагогічний університет імені Олександра Довженка",,,105,182,136,"http://new.gnpu.edu.ua/",12000,,"192, 193",192,"Сумська область",305,438,1103,3,4,0,939,
"Горлівський інститут іноземних мов Державного вищого навчального закладу «Донбаський державний педагогічний університет»",,,103.5,189.333333333333,143.7,"-",12419,,,500,"Донецька область",156,223,558,3,4,0,326,
"Горлівський регіональний інститут вищого навчального закладу «Відкритий міжнародний університет розвитку людини «Україна»",,,0,0,0,"http://griuu.org",11500,,,500,"Донецька область",,13,16,1,,0,22,
"Державний вищий навчальний заклад «Донбаський державний педагогічний університет»",,,104,181.333333333333,136,"http://www.slavdpu.dn.ua/",12419,,"180",180,"Донецька область",308,668,1717,3,6,0,947,
"Державний вищий навчальний заклад «Донецький національний технічний університет»",49,252,101.333333333333,183.333333333333,137,"http://donntu.edu.ua",13600,,"17",17,"Донецька область",288,510,1712,3,6,5.1,793,61.7906683480454
"Державний вищий навчальний заклад «Івано-Франківський національний медичний університет»",0,95,116.666666666667,176.666666666667,139.2,"http://www.ifnmu.edu.ua",26400,,"62",62,"Івано-Франківська область",,31,208,7,,-1,782,0
"Державний вищий навчальний заклад «Київський національний економічний університет імені Вадима Гетьмана»",25,13,103.666666666667,197.666666666667,160.1,"http://kneu.edu.ua",21300,,"30",30,"м. Київ",678,2540,19601,8,29,0.5,3792,6.59282700421941
"Державний вищий навчальний заклад «Криворізький державний педагогічний університет»",,,101,195.666666666667,143.1,"http://kdpu.edu.ua",12661,,"172",172,"Дніпропетровська область",316,862,3148,4,10,0,1443,
"Державний вищий навчальний заклад «Криворізький національний університет»",16,34,102.666666666667,195,142.8,"http://knu.edu.ua",10554,,"70, 71",70,"Дніпропетровська область",481,958,3204,3,7,2.1,1753,9.12721049629207
"Державний вищий навчальний заклад «Національний гірничий університет»",44,76,101.333333333333,198,148.1,"http://www.nmu.org.ua",11233,,"28",28,"Дніпропетровська область",808,1713,8473,5,10,1.7,2805,15.6862745098039
"Державний вищий навчальний заклад «Національний лісотехнічний університет України»",29,291,103.333333333333,192,145.3,"http://pk.nltu.edu.ua",9816,,"49",49,"Львівська область",281,639,2747,4,10,10,1124,25.8007117437722
"Державний вищий навчальний заклад «Переяслав-Хмельницький державний педагогічний університет імені Григорія Сковороди»",,,100,192.666666666667,134.2,"http://phdpu.edu.ua",10465,,"93",93,"Київська область",597,1079,2827,3,5,0,2252,
"Державний вищий навчальний заклад «Приазовський державний технічний університет»",40,108,100.666666666667,194.666666666667,140.1,"http://pstu.edu",8475,,"77",77,"Донецька область",434,975,2630,3,6,2.7,1600,25
"Державний вищий навчальний заклад «Придніпровська державна академія будівництва та архітектури»",6,68,103.666666666667,191.5,146.5,"http://new.pgasa.dp.ua",9750,,"68",68,"Дніпропетровська область",277,678,3065,5,11,11.3,1457,4.11805078929307
"Державний вищий навчальний заклад «Прикарпатський національний університет імені Василя Стефаника»",88,960,100.333333333333,195.666666666667,147.1,"http://www.pu.if.ua",11277,,"16",16,"Івано-Франківська область",628,3007,6144,2,10,10.9,4632,18.9982728842832
"Державний вищий навчальний заклад «Тернопiльський державний медичний університет iменi I.Я. Горбачевського Міністерства охорони здоров`я України»",133,129,113.666666666667,174.666666666667,144.8,"http://vstup.tdmu.edu.ua",23000,,"54, 55",54,"Тернопільська область",9,215,469,2,52,1,1071,124.183006535948
"Державний вищий навчальний заклад «Ужгородський національний університет»",88,894,100.666666666667,195,145.8,"http://www.uzhnu.edu.ua",12277,,"20, 21",20,"Закарпатська область",674,1981,10531,5,16,10.2,3816,23.0607966457023
"Державний вищий навчальний заклад «Український державний хіміко-технологічний університет»",66,673,101.666666666667,196.666666666667,138.7,"http://udhtu.edu.ua",9500,,"88",88,"Дніпропетровська область",244,722,4655,6,19,10.2,1365,48.3516483516484
"Державний вищий навчальний заклад «Університет банківської справи»",55,30,112.333333333333,193.333333333333,162.9,"http://ubs.edu.ua",15500,,"76",76,"м. Київ",38,62,762,12,20,0.5,164,335.365853658537
"Державний вищий навчальний заклад «Університет менеджменту освіти»",,,104.666666666667,167.666666666667,133.3,"http://umo.edu.ua/",9666,,"183",183,"м. Київ",,87,499,6,,0,118,
"Державний вищий навчальний заклад «Херсонський державний аграрний університет»",,,104,175.666666666667,133.6,"http://www.ksau.kherson.ua",9000,,"135, 136",135,"Херсонська область",202,453,1872,4,9,0,828,
"Державний заклад «Дніпропетровська медична академія Міністерства охорони здоров'я України»",14,723,112.333333333333,172,138.9,"http://www.dsma.dp.ua",33063,,"46",46,"Дніпропетровська область",6,23,213,9,36,51.6,503,27.8330019880716
"Державний заклад «Луганський національний університет імені Тараса Шевченка»",9,63,100.333333333333,191.5,133.5,"http://luguniv.edu.ua",9071,,"52",52,"Луганська область",681,1358,3792,3,6,7,1358,6.62739322533137
"Державний заклад «Південноукраїнський національний педагогічний університет імені К.Д. Ушинського»",5,125,101.333333333333,192.666666666667,139.9,"http://www.pdpu.edu.ua",10585,,"53",53,"Одеська область",260,1062,4843,5,19,25,1762,2.83768444948922
